Location_Code,Location,Date,Comparison_Type,,new_deaths
MYS,Malaysia,2019-12-31,0,,0
MYS,Malaysia,2020-01-01,0,,0
MYS,Malaysia,2020-01-02,0,,0
MYS,Malaysia,2020-01-03,0,,0
MYS,Malaysia,2020-01-04,0,,0
MYS,Malaysia,2020-01-05,0,,0
MYS,Malaysia,2020-01-06,0,,0
MYS,Malaysia,2020-01-07,0,,0
MYS,Malaysia,2020-01-08,0,,0
MYS,Malaysia,2020-01-09,0,,0
MYS,Malaysia,2020-01-10,0,,0
MYS,Malaysia,2020-01-11,0,,0
MYS,Malaysia,2020-01-12,0,,0
MYS,Malaysia,2020-01-13,0,,0
MYS,Malaysia,2020-01-14,0,,0
MYS,Malaysia,2020-01-15,0,,0
MYS,Malaysia,2020-01-16,0,,0
MYS,Malaysia,2020-01-17,0,,0
MYS,Malaysia,2020-01-18,0,,0
MYS,Malaysia,2020-01-19,0,,0
MYS,Malaysia,2020-01-20,0,,0
MYS,Malaysia,2020-01-21,0,,0
MYS,Malaysia,2020-01-22,0,,0
MYS,Malaysia,2020-01-23,0,,0
MYS,Malaysia,2020-01-24,0,,0
MYS,Malaysia,2020-01-25,3,,0
MYS,Malaysia,2020-01-26,1,,0
MYS,Malaysia,2020-01-27,0,,0
MYS,Malaysia,2020-01-28,0,,0
MYS,Malaysia,2020-01-29,3,,0
MYS,Malaysia,2020-01-30,0,,0
MYS,Malaysia,2020-01-31,1,,0
MYS,Malaysia,2020-02-01,0,,0
MYS,Malaysia,2020-02-02,0,,0
MYS,Malaysia,2020-02-03,0,,0
MYS,Malaysia,2020-02-04,0,,0
MYS,Malaysia,2020-02-05,2,,0
MYS,Malaysia,2020-02-06,2,,0
MYS,Malaysia,2020-02-07,2,,0
MYS,Malaysia,2020-02-08,1,,0
MYS,Malaysia,2020-02-09,1,,0
MYS,Malaysia,2020-02-10,2,,0
MYS,Malaysia,2020-02-11,0,,0
MYS,Malaysia,2020-02-12,0,,0
MYS,Malaysia,2020-02-13,0,,0
MYS,Malaysia,2020-02-14,1,,0
MYS,Malaysia,2020-02-15,2,,0
MYS,Malaysia,2020-02-16,1,,0
MYS,Malaysia,2020-02-17,0,,0
MYS,Malaysia,2020-02-18,0,,0
MYS,Malaysia,2020-02-19,0,,0
MYS,Malaysia,2020-02-20,0,,0
MYS,Malaysia,2020-02-21,0,,0
MYS,Malaysia,2020-02-22,0,,0
MYS,Malaysia,2020-02-23,0,,0
MYS,Malaysia,2020-02-24,0,,0
MYS,Malaysia,2020-02-25,0,,0
MYS,Malaysia,2020-02-26,0,,0
MYS,Malaysia,2020-02-27,0,,0
MYS,Malaysia,2020-02-28,1,,0
MYS,Malaysia,2020-02-29,2,,0
MYS,Malaysia,2020-03-01,0,,0
MYS,Malaysia,2020-03-02,4,,0
MYS,Malaysia,2020-03-03,,,
MYS,Malaysia,2020-03-04,7,,0
MYS,Malaysia,2020-03-05,14,,0
MYS,Malaysia,2020-03-06,0,,0
MYS,Malaysia,2020-03-07,33,,0
MYS,Malaysia,2020-03-08,10,,0
MYS,Malaysia,2020-03-09,6,,0
MYS,Malaysia,2020-03-10,18,,0
MYS,Malaysia,2020-03-11,12,,0
MYS,Malaysia,2020-03-12,20,,0
MYS,Malaysia,2020-03-13,9,,0
MYS,Malaysia,2020-03-14,39,,0
MYS,Malaysia,2020-03-15,41,,0
MYS,Malaysia,2020-03-16,190,,0
MYS,Malaysia,2020-03-17,125,,0
MYS,Malaysia,2020-03-18,120,,2
MYS,Malaysia,2020-03-19,117,,0
MYS,Malaysia,2020-03-20,110,,0
MYS,Malaysia,2020-03-21,130,,0
MYS,Malaysia,2020-03-22,153,,2
MYS,Malaysia,2020-03-23,123,,6
MYS,Malaysia,2020-03-24,212,,4
MYS,Malaysia,2020-03-25,106,,1
MYS,Malaysia,2020-03-26,172,,4
MYS,Malaysia,2020-03-27,235,,4
MYS,Malaysia,2020-03-28,130,,3
MYS,Malaysia,2020-03-29,159,,1
MYS,Malaysia,2020-03-30,150,,7
MYS,Malaysia,2020-03-31,156,,3
MYS,Malaysia,2020-04-01,140,,6
MYS,Malaysia,2020-04-02,142,,2
MYS,Malaysia,2020-04-03,208,,5
MYS,Malaysia,2020-04-04,217,,3
MYS,Malaysia,2020-04-05,150,,4
MYS,Malaysia,2020-04-06,179,,4
MYS,Malaysia,2020-04-07,131,,1
MYS,Malaysia,2020-04-08,170,,1
MYS,Malaysia,2020-04-09,156,,2
MYS,Malaysia,2020-04-10,109,,2
MYS,Malaysia,2020-04-11,118,,3
MYS,Malaysia,2020-04-12,184,,3
MYS,Malaysia,2020-04-13,153,,3
MYS,Malaysia,2020-04-14,134,,1
MYS,Malaysia,2020-04-15,170,,5
MYS,Malaysia,2020-04-16,85,,1
MYS,Malaysia,2020-04-17,110,,1
MYS,Malaysia,2020-04-18,69,,2
MYS,Malaysia,2020-04-19,54,,2
MYS,Malaysia,2020-04-20,84,,1
MYS,Malaysia,2020-04-21,36,,0
MYS,Malaysia,2020-04-22,57,,3
MYS,Malaysia,2020-04-23,50,,1
MYS,Malaysia,2020-04-24,71,,2
MYS,Malaysia,2020-04-25,88,,1
MYS,Malaysia,2020-04-26,51,,2
MYS,Malaysia,2020-04-27,38,,0
MYS,Malaysia,2020-04-28,40,,1
MYS,Malaysia,2020-04-29,31,,1
MYS,Malaysia,2020-04-30,94,,0
MYS,Malaysia,2020-05-01,57,,2
MYS,Malaysia,2020-05-02,69,,1
MYS,Malaysia,2020-05-03,105,,0
MYS,Malaysia,2020-05-04,122,,2
MYS,Malaysia,2020-05-05,55,,0
MYS,Malaysia,2020-05-06,30,,1
MYS,Malaysia,2020-05-07,45,,1
MYS,Malaysia,2020-05-08,39,,0
MYS,Malaysia,2020-05-09,68,,0
MYS,Malaysia,2020-05-10,54,,1
MYS,Malaysia,2020-05-11,67,,0
MYS,Malaysia,2020-05-12,70,,1
MYS,Malaysia,2020-05-13,16,,0
MYS,Malaysia,2020-05-14,37,,2
MYS,Malaysia,2020-05-15,40,,1
MYS,Malaysia,2020-05-16,36,,0
MYS,Malaysia,2020-05-17,17,,1
MYS,Malaysia,2020-05-18,22,,0
MYS,Malaysia,2020-05-19,47,,0
MYS,Malaysia,2020-05-20,37,,1
MYS,Malaysia,2020-05-21,31,,0
MYS,Malaysia,2020-05-22,50,,0
MYS,Malaysia,2020-05-23,78,,1
MYS,Malaysia,2020-05-24,48,,0
MYS,Malaysia,2020-05-25,60,,0
MYS,Malaysia,2020-05-26,172,,0
MYS,Malaysia,2020-05-27,187,,0
MYS,Malaysia,2020-05-28,15,,0
MYS,Malaysia,2020-05-29,10,,0
MYS,Malaysia,2020-05-30,103,,0
MYS,Malaysia,2020-05-31,30,,0
MYS,Malaysia,2020-06-01,57,,0
MYS,Malaysia,2020-06-02,38,,0
MYS,Malaysia,2020-06-03,20,,0
MYS,Malaysia,2020-06-04,93,,0
MYS,Malaysia,2020-06-05,0,,0
MYS,Malaysia,2020-06-06,296,,1
MYS,Malaysia,2020-06-07,37,,1
MYS,Malaysia,2020-06-08,19,,0
MYS,Malaysia,2020-06-09,7,,0
MYS,Malaysia,2020-06-10,7,,0
MYS,Malaysia,2020-06-11,2,,1
MYS,Malaysia,2020-06-12,31,,0
MYS,Malaysia,2020-06-13,33,,1
MYS,Malaysia,2020-06-14,43,,1
MYS,Malaysia,2020-06-15,8,,1
MYS,Malaysia,2020-06-16,41,,0
MYS,Malaysia,2020-06-17,11,,0
MYS,Malaysia,2020-06-18,10,,0
MYS,Malaysia,2020-06-19,14,,0
MYS,Malaysia,2020-06-20,6,,0
MYS,Malaysia,2020-06-21,21,,0
MYS,Malaysia,2020-06-22,16,,0
MYS,Malaysia,2020-06-23,15,,0
MYS,Malaysia,2020-06-24,3,,0
MYS,Malaysia,2020-06-25,6,,0
MYS,Malaysia,2020-06-26,4,,0
MYS,Malaysia,2020-06-27,6,,0
MYS,Malaysia,2020-06-28,10,,0
MYS,Malaysia,2020-06-29,18,,0
MYS,Malaysia,2020-06-30,3,,0
MYS,Malaysia,2020-07-01,2,,0
MYS,Malaysia,2020-07-02,1,,0
MYS,Malaysia,2020-07-03,3,,0
MYS,Malaysia,2020-07-04,5,,0
MYS,Malaysia,2020-07-05,10,,0
MYS,Malaysia,2020-07-06,0,,0
MYS,Malaysia,2020-07-07,10,,0
MYS,Malaysia,2020-07-08,6,,0
MYS,Malaysia,2020-07-09,3,,0
MYS,Malaysia,2020-07-10,6,,0
MYS,Malaysia,2020-07-11,13,,0
MYS,Malaysia,2020-07-12,8,,1
MYS,Malaysia,2020-07-13,14,,0
MYS,Malaysia,2020-07-14,7,,0
MYS,Malaysia,2020-07-15,4,,0
MYS,Malaysia,2020-07-16,5,,0
MYS,Malaysia,2020-07-17,3,,0
MYS,Malaysia,2020-07-18,18,,0
MYS,Malaysia,2020-07-19,9,,0
MYS,Malaysia,2020-07-20,15,,1
MYS,Malaysia,2020-07-21,21,,0
MYS,Malaysia,2020-07-22,15,,0
MYS,Malaysia,2020-07-23,16,,0
MYS,Malaysia,2020-07-24,9,,0
MYS,Malaysia,2020-07-25,21,,0
MYS,Malaysia,2020-07-26,23,,0
MYS,Malaysia,2020-07-27,13,,1
MYS,Malaysia,2020-07-28,7,,0
MYS,Malaysia,2020-07-29,39,,0
MYS,Malaysia,2020-07-30,13,,0
MYS,Malaysia,2020-07-31,8,,0
MYS,Malaysia,2020-08-01,12,,1
MYS,Malaysia,2020-08-02,9,,0
MYS,Malaysia,2020-08-03,14,,0
MYS,Malaysia,2020-08-04,2,,0
MYS,Malaysia,2020-08-05,1,,0
MYS,Malaysia,2020-08-06,21,,0
MYS,Malaysia,2020-08-07,15,,0
MYS,Malaysia,2020-08-08,25,,0
MYS,Malaysia,2020-08-09,7,,0
MYS,Malaysia,2020-08-10,13,,0
MYS,Malaysia,2020-08-11,11,,0
MYS,Malaysia,2020-08-12,9,,0
MYS,Malaysia,2020-08-13,11,,0
MYS,Malaysia,2020-08-14,15,,0
MYS,Malaysia,2020-08-15,20,,0
MYS,Malaysia,2020-08-16,26,,0
MYS,Malaysia,2020-08-17,25,,0
MYS,Malaysia,2020-08-18,12,,0
MYS,Malaysia,2020-08-19,7,,0
MYS,Malaysia,2020-08-20,16,,0
MYS,Malaysia,2020-08-21,5,,0
MYS,Malaysia,2020-08-22,9,,0
MYS,Malaysia,2020-08-23,8,,0
MYS,Malaysia,2020-08-24,10,,0
MYS,Malaysia,2020-08-25,7,,0
MYS,Malaysia,2020-08-26,11,,0
MYS,Malaysia,2020-08-27,6,,0
MYS,Malaysia,2020-08-28,5,,0
MYS,Malaysia,2020-08-29,10,,0
MYS,Malaysia,2020-08-30,11,,0
MYS,Malaysia,2020-08-31,17,,1
MYS,Malaysia,2020-09-01,6,,1
MYS,Malaysia,2020-09-02,14,,1
MYS,Malaysia,2020-09-03,6,,0
MYS,Malaysia,2020-09-04,14,,0
MYS,Malaysia,2020-09-05,0,,0
MYS,Malaysia,2020-09-06,17,,0
MYS,Malaysia,2020-09-07,6,,0
MYS,Malaysia,2020-09-08,62,,0
MYS,Malaysia,2020-09-09,100,,0
MYS,Malaysia,2020-09-10,24,,0
MYS,Malaysia,2020-09-11,45,,0
MYS,Malaysia,2020-09-12,182,,0
MYS,Malaysia,2020-09-13,58,,0
MYS,Malaysia,2020-09-14,47,,0
MYS,Malaysia,2020-09-15,31,,0
MYS,Malaysia,2020-09-16,23,,0
MYS,Malaysia,2020-09-17,62,,0
MYS,Malaysia,2020-09-18,21,,0
MYS,Malaysia,2020-09-19,95,,1
MYS,Malaysia,2020-09-20,20,,1
MYS,Malaysia,2020-09-21,52,,0
MYS,Malaysia,2020-09-22,57,,0
MYS,Malaysia,2020-09-23,82,,0
MYS,Malaysia,2020-09-24,147,,3
MYS,Malaysia,2020-09-25,71,,0
MYS,Malaysia,2020-09-26,0,,0
MYS,Malaysia,2020-09-27,193,,0
MYS,Malaysia,2020-09-28,150,,1
MYS,Malaysia,2020-09-29,115,,0
MYS,Malaysia,2020-09-30,101,,0
MYS,Malaysia,2020-10-01,0,,0
MYS,Malaysia,2020-10-02,349,,2
MYS,Malaysia,2020-10-03,287,,0
MYS,Malaysia,2020-10-04,317,,1
MYS,Malaysia,2020-10-05,293,,0
MYS,Malaysia,2020-10-06,432,,0
MYS,Malaysia,2020-10-07,691,,4
MYS,Malaysia,2020-10-08,489,,0
MYS,Malaysia,2020-10-09,375,,5
MYS,Malaysia,2020-10-10,354,,6
MYS,Malaysia,2020-10-11,374,,3
MYS,Malaysia,2020-10-12,561,,2
MYS,Malaysia,2020-10-13,563,,2
MYS,Malaysia,2020-10-14,660,,4
MYS,Malaysia,2020-10-15,660,,4
MYS,Malaysia,2020-10-16,589,,3
MYS,Malaysia,2020-10-17,629,,6
MYS,Malaysia,2020-10-18,869,,4
MYS,Malaysia,2020-10-19,871,,7
MYS,Malaysia,2020-10-20,865,,3
MYS,Malaysia,2020-10-21,862,,3
MYS,Malaysia,2020-10-22,732,,6
MYS,Malaysia,2020-10-23,847,,5
MYS,Malaysia,2020-10-24,710,,10
MYS,Malaysia,2020-10-25,1228,,7
MYS,Malaysia,2020-10-26,823,,8
MYS,Malaysia,2020-10-27,1240,,7
MYS,Malaysia,2020-10-28,835,,2
MYS,Malaysia,2020-10-29,771,,8
MYS,Malaysia,2020-10-30,679,,0
MYS,Malaysia,2020-10-31,809,,3
MYS,Malaysia,2020-11-01,649,,0
MYS,Malaysia,2020-11-02,957,,0
MYS,Malaysia,2020-11-03,834,,2
MYS,Malaysia,2020-11-04,1054,,12
MYS,Malaysia,2020-11-05,1032,,8
MYS,Malaysia,2020-11-06,1009,,6
MYS,Malaysia,2020-11-07,1755,,2
MYS,Malaysia,2020-11-08,1168,,3
MYS,Malaysia,2020-11-09,852,,4
MYS,Malaysia,2020-11-10,972,,8
MYS,Malaysia,2020-11-11,869,,6
MYS,Malaysia,2020-11-12,822,,2
MYS,Malaysia,2020-11-13,919,,1
MYS,Malaysia,2020-11-14,1304,,1
MYS,Malaysia,2020-11-15,1114,,2
MYS,Malaysia,2020-11-16,1208,,3
MYS,Malaysia,2020-11-17,1103,,4
MYS,Malaysia,2020-11-18,1210,,5
MYS,Malaysia,2020-11-19,660,,4
